State,Location,Place,NatureOfLocation,LocationType,Category,Size(sqft),Footfall,IncomeLevel,AgeGroup,PPI,Light,Rate(1month)
TamilNadu,Chennai,Meenambakkam,Airport,Urban,Hoardings,177,1373731,UpperMiddle,Young,High,Yes,485000
TamilNadu,Chennai,Meenambakkam,Airport,Urban,Hoardings,24,1373731,UpperMiddle,Young,High,Yes,242250
Delhi,Delhi,AIMSBUILDERNOIDA,NH,Rural,Hoardings,450,,Low,MiddleAged,Medium,No,75000
Delhi,Delhi,AKSHARDHAM TEMPLE,CBD,Urban,Hoardings,200,,LowerMiddle,MiddleAged,Medium,No,100000
Delhi,Delhi,AKSHARDHAM,CBD,Urban,Gantry,250,,LowerMiddle,MiddleAged,Medium,No,250000
TamilNadu,Chennai,AVADI RAILWAY,RailwayStation,Urban,Hoardings,100,,LowerMiddle,MiddleAged,Low,No,20000
TamilNadu,Chennai,Chengalpattu,CBD,Rural,Hoardings,450,,LowerMiddle,MiddleAged,Low,No,57250
TamilNadu,Chennai,Adayar,CBD,Urban,Hoardings,385,,LowerMiddle,MiddleAged,Medium,Yes,200000
TamilNadu,Chennai,RadialRoad,SH,Urban,Hoardings,900,,LowerMiddle,MiddleAged,Medium,No,170000
Karnataka,Bangalore,MG Road,CBD,Urban,Hoardings,900,,UpperMiddle,Young,High,Yes,225000
Delhi,Delhi,DND Flyway,NH,Urban,Hoardings,800,,LowerMiddle,MiddleAged,High,No,350000
Karnataka,Bangalore,TumkurRoad,NH,Rural,Hoardings,750,,Low,MiddleAged,Medium,Yes,75000
Karnataka,Bangalore,HosurRoad,NH,Urban,Hoardings,1600,,Low,MiddleAged,High,Yes,150000
Karnataka,Bangalore,GolfClub,CBD,Urban,Gantry,565,,High,Young,High,Yes,600000
Karnataka,Bangalore,IndianOilFO,NH,Rural,Hoardings,930,,Low,MiddleAged,Medium,Yes,130000
Delhi,Delhi,EXPRESSMARTNOIDA,NH,Urban,Hoardings,128,,LowerMiddle,MiddleAged,High,No,125000
Delhi,Delhi,GRNOIDA,NH,Rural,Hoardings,900,,LowerMiddle,MiddleAged,Medium,No,125000
Delhi,Delhi,"YAMUNAJI, DELHI",NH,Urban,Hoardings,800,,LowerMiddle,MiddleAged,High,Yes,350000
Delhi,Delhi,Haveli,NH,Rural,Unipole,800,,Low,Elder,Low,No,47000
Delhi,Delhi,NoidaExpessway,NH,Rural,Unipole,450,,LowerMiddle,MiddleAged,Medium,No,60000
Delhi,Delhi,Kalindikunj road,SH,Urban,Unipole,200,,LowerMiddle,Elder,Medium,No,95000
Delhi,Delhi,Khoda,NH,Urban,Unipole,200,,LowerMiddle,MiddleAged,Medium,No,85000
Delhi,Delhi,Madhu Vihar,CBD,Urban,Hoardings,875,,LowerMiddle,MiddleAged,High,Yes,200000
Delhi,Delhi,Naraina,CBD,Urban,Hoardings,450,,UpperMiddle,MiddleAged,High,No,200000
Delhi,Delhi,NoidaJunction,CBD,Urban,Hoardings,500,,UpperMiddle,MiddleAged,Medium,Yes,110000
